observations,TravelTime,startNodeID,endNodeID,interval
1,360,10058,14215,2010-05-08 22:00:00
1,1335,12159,11251,2010-02-08 20:20:00
1,329,14443,13980,2010-05-08 22:20:00
2,1188,1380034898,17196,2010-03-08 17:15:00
1,1039,14443,18796,2010-04-08 04:00:00
1,1291,10242,16561,2010-05-08 16:25:00
2,1040,1380026493,13740,2010-03-08 14:30:00
1,1088,17460,17687,2010-02-08 14:25:00
1,544,10163,20585,2010-03-08 11:35:00
1,401,18826,12158,2010-04-08 12:35:00
1,902,10618,1380039621,2010-03-08 16:25:00
1,531,1380009311,13980,2010-03-08 02:35:00
1,1471,1380030708,11018,2010-05-08 19:25:00
2,885,17679,17450,2010-03-08 22:05:00
4,537,21923,10750,2010-04-08 22:55:00
1,1151,10558,16912,2010-05-08 20:00:00
4,1466,17104,13741,2010-05-08 18:50:00
1,2076,11301,10705,2010-03-08 19:10:00
1,265,1380007832,17083,2010-02-08 07:45:00
1,1131,1380004685,10914,2010-03-08 13:50:00
8,1266,14932,17394,2010-03-08 17:55:00
2,850,11821,11517,2010-04-08 09:45:00
2,847,1380039621,14019,2010-05-08 04:35:00
2,540,11517,1380029955,2010-04-08 15:05:00
2,182,16433,20294,2010-03-08 11:25:00
1,360,20403,15292,2010-03-08 22:10:00
1,1454,16143,15489,2010-02-08 08:25:00
5,183,1380009311,20481,2010-05-08 00:50:00
1,538,1380026241,11863,2010-03-08 12:55:00
3,182,18558,12251,2010-04-08 22:00:00
1,649,13223,19472,2010-04-08 22:15:00
1,890,17122,11296,2010-02-08 22:35:00
1,363,17083,18061,2010-03-08 23:20:00
3,1737,15560,10204,2010-04-08 11:40:00
1,952,17147,11824,2010-04-08 12:40:00
2,1586,21217,16991,2010-02-08 10:00:00
1,183,11331,19356,2010-04-08 10:30:00
1,736,11821,14610,2010-05-08 07:35:00
3,1214,17106,19472,2010-04-08 11:35:00
1,185,16153,20214,2010-04-08 09:45:00
6,1166,14443,13937,2010-04-08 21:20:00
3,1703,1380034898,18277,2010-04-08 14:20:00
1,1234,14672,19926,2010-05-08 21:05:00
5,985,16741,18627,2010-03-08 21:10:00
1,699,10288,1380039621,2010-05-08 00:00:00
